iter	Logloss	Accuracy
794	0.3603610338	0.8338052689
795	0.3602444281	0.8338052689
796	0.3601996401	0.8338577062
797	0.3601359292	0.8339625808
798	0.3601015812	0.8339311184
799	0.3600409666	0.8339625808
800	0.3599848008	0.8340569679
801	0.3599369969	0.8340989177
802	0.3598860518	0.8341198926
803	0.3598253901	0.8342772045
804	0.3597500611	0.8342981794
805	0.359696195	0.8342876919
806	0.3596415409	0.8343296417
807	0.3595538565	0.8344135414
808	0.3594905632	0.8344554912
809	0.3594307496	0.8344764661
810	0.3593841468	0.8345079285
811	0.3593311508	0.8344974411
812	0.3593002652	0.8345393909
813	0.3592443039	0.8345498783
814	0.359160217	0.8345918282
815	0.3591067125	0.8344659787
816	0.3590177744	0.834151355
817	0.3589671703	0.8342247672
818	0.3589065655	0.834266717
819	0.3588464694	0.8343296417
820	0.3588165754	0.834382079
821	0.3587273436	0.834266717
822	0.3586594733	0.834382079
823	0.3586224734	0.8345079285
824	0.358552133	0.8345918282
825	0.3584451282	0.8345708533
826	0.3583651419	0.8346442655
827	0.3582691666	0.8347386526
828	0.3582374888	0.8348015773
829	0.3581406143	0.8347701149
830	0.3580935306	0.8348749895
831	0.3580462285	0.8348540146
832	0.3580202179	0.8349274268
833	0.3579638915	0.8348540146
834	0.3579296091	0.8348959644
835	0.3578701102	0.8348959644
836	0.3577839074	0.8348330397
837	0.3577505086	0.8348225522
838	0.3576567438	0.8349903515
839	0.3576073784	0.8349903515
840	0.3575348192	0.8351057136
841	0.3574419281	0.8350323014
842	0.3573510574	0.8350637637
843	0.3573177995	0.8350427888
844	0.3572546965	0.8350427888
845	0.3571845639	0.8352630254
846	0.3571509152	0.8352944878
847	0.3570572756	0.8353364376
848	0.3569889535	0.8352840003
849	0.35693383	0.8353783874
850	0.3568859101	0.8352315631
851	0.3568231336	0.8351581509
852	0.3567388449	0.8353574125
853	0.35667825	0.8354308247
854	0.3565944326	0.8354308247
855	0.3565381552	0.835483262
856	0.3565081355	0.835598624
857	0.3564674317	0.835598624
858	0.3564022075	0.8356091115
859	0.3563932939	0.835598624
860	0.3563405674	0.835619599
861	0.3562732186	0.835734961
862	0.356211115	0.8357034986
863	0.3561468939	0.8356825237
864	0.3561101979	0.8355461868
865	0.3560750505	0.8354937495
866	0.3560272115	0.8355671617
867	0.3559785769	0.8355881366
868	0.3559003088	0.8355566742
869	0.3558411915	0.8358712979
870	0.3557862191	0.8357139861
871	0.3557292338	0.8357559359
872	0.3556740301	0.8357559359
873	0.3556061092	0.835734961
874	0.355554785	0.8358398356
875	0.3554882449	0.8356930112
876	0.3553871838	0.835850323
877	0.3553125281	0.8360495847
878	0.3552719228	0.8360600722
879	0.3552232095	0.8361544593
